Logging to logs/selfsup_mamba_20251022-151808
GPU is available
Using device: cuda
training lstm
[79] train=2.8509e-01 | val=1.3232e+00 | L=9.49e-02 E=3.11e-02 Dyn=1.20e+01 | eig-ratio-L2=1.326e-01 axis-align=0.879
[80] train=2.7930e-01 | val=1.3700e+00 | L=9.57e-02 E=3.13e-02 Dyn=1.24e+01 | eig-ratio-L2=1.316e-01 axis-align=0.887
[81] train=3.3638e-01 | val=1.2717e+00 | L=9.61e-02 E=3.41e-02 Dyn=1.14e+01 | eig-ratio-L2=1.314e-01 axis-align=0.887
[82] train=2.5366e-01 | val=1.3505e+00 | L=9.32e-02 E=3.36e-02 Dyn=1.22e+01 | eig-ratio-L2=1.351e-01 axis-align=0.880
[83] train=2.6041e-01 | val=1.3362e+00 | L=9.43e-02 E=2.70e-02 Dyn=1.21e+01 | eig-ratio-L2=1.329e-01 axis-align=0.876
[84] train=2.4079e-01 | val=1.4767e+00 | L=9.45e-02 E=3.37e-02 Dyn=1.35e+01 | eig-ratio-L2=1.316e-01 axis-align=0.879
[85] train=2.7441e-01 | val=1.2160e+00 | L=1.00e-01 E=3.23e-02 Dyn=1.08e+01 | eig-ratio-L2=1.338e-01 axis-align=0.888
[86] train=2.5168e-01 | val=1.2851e+00 | L=9.47e-02 E=2.99e-02 Dyn=1.16e+01 | eig-ratio-L2=1.341e-01 axis-align=0.883
[87] train=2.4697e-01 | val=1.3136e+00 | L=9.46e-02 E=3.48e-02 Dyn=1.18e+01 | eig-ratio-L2=1.304e-01 axis-align=0.887
[88] train=2.4477e-01 | val=1.4036e+00 | L=9.65e-02 E=3.37e-02 Dyn=1.27e+01 | eig-ratio-L2=1.330e-01 axis-align=0.886
[89] train=2.4881e-01 | val=1.4734e+00 | L=9.52e-02 E=2.85e-02 Dyn=1.35e+01 | eig-ratio-L2=1.323e-01 axis-align=0.879
[90] train=2.5537e-01 | val=1.5193e+00 | L=9.39e-02 E=3.14e-02 Dyn=1.39e+01 | eig-ratio-L2=1.302e-01 axis-align=0.886
[91] train=2.3728e-01 | val=1.4762e+00 | L=9.71e-02 E=3.52e-02 Dyn=1.34e+01 | eig-ratio-L2=1.319e-01 axis-align=0.880
[92] train=2.5157e-01 | val=1.2253e+00 | L=9.23e-02 E=2.77e-02 Dyn=1.11e+01 | eig-ratio-L2=1.323e-01 axis-align=0.883
[93] train=2.6342e-01 | val=1.1906e+00 | L=9.25e-02 E=2.54e-02 Dyn=1.07e+01 | eig-ratio-L2=1.317e-01 axis-align=0.889
[94] train=2.2158e-01 | val=1.1394e+00 | L=9.21e-02 E=2.64e-02 Dyn=1.02e+01 | eig-ratio-L2=1.339e-01 axis-align=0.883
[95] train=2.4660e-01 | val=1.4024e+00 | L=9.71e-02 E=2.96e-02 Dyn=1.28e+01 | eig-ratio-L2=1.314e-01 axis-align=0.885
[96] train=2.3783e-01 | val=1.1896e+00 | L=9.21e-02 E=3.04e-02 Dyn=1.07e+01 | eig-ratio-L2=1.302e-01 axis-align=0.883
[97] train=2.5093e-01 | val=1.3128e+00 | L=9.41e-02 E=3.25e-02 Dyn=1.19e+01 | eig-ratio-L2=1.312e-01 axis-align=0.884
[98] train=2.6928e-01 | val=1.3659e+00 | L=9.33e-02 E=2.70e-02 Dyn=1.25e+01 | eig-ratio-L2=1.337e-01 axis-align=0.883
[99] train=2.3265e-01 | val=1.5236e+00 | L=9.82e-02 E=2.90e-02 Dyn=1.40e+01 | eig-ratio-L2=1.311e-01 axis-align=0.883
[100] train=2.1169e-01 | val=1.4974e+00 | L=9.59e-02 E=3.16e-02 Dyn=1.37e+01 | eig-ratio-L2=1.301e-01 axis-align=0.886
[101] train=2.4038e-01 | val=1.2125e+00 | L=8.93e-02 E=2.57e-02 Dyn=1.10e+01 | eig-ratio-L2=1.366e-01 axis-align=0.882
[102] train=2.2377e-01 | val=1.3568e+00 | L=9.49e-02 E=3.22e-02 Dyn=1.23e+01 | eig-ratio-L2=1.308e-01 axis-align=0.888
[103] train=2.1477e-01 | val=1.3144e+00 | L=9.47e-02 E=2.48e-02 Dyn=1.19e+01 | eig-ratio-L2=1.299e-01 axis-align=0.882
[104] train=2.2764e-01 | val=1.2823e+00 | L=9.53e-02 E=3.16e-02 Dyn=1.16e+01 | eig-ratio-L2=1.283e-01 axis-align=0.882
[105] train=2.1581e-01 | val=1.4366e+00 | L=9.05e-02 E=3.17e-02 Dyn=1.31e+01 | eig-ratio-L2=1.300e-01 axis-align=0.885
[106] train=2.1016e-01 | val=1.2436e+00 | L=9.75e-02 E=3.14e-02 Dyn=1.11e+01 | eig-ratio-L2=1.280e-01 axis-align=0.881
[107] train=1.9722e-01 | val=1.3732e+00 | L=9.77e-02 E=3.07e-02 Dyn=1.24e+01 | eig-ratio-L2=1.321e-01 axis-align=0.884
[108] train=2.5679e-01 | val=1.1161e+00 | L=9.36e-02 E=2.95e-02 Dyn=9.93e+00 | eig-ratio-L2=1.306e-01 axis-align=0.886
[109] train=2.2955e-01 | val=1.2502e+00 | L=9.02e-02 E=2.95e-02 Dyn=1.13e+01 | eig-ratio-L2=1.312e-01 axis-align=0.881
