Logging to logs/selfsup_mamba_20251020-224608
GPU is available
Using device: cuda
training lstm
[01] train=1.1348e-01 | val=1.0013e-01 | L=8.97e-02 E=1.04e-02 Dyn=2.01e+00 | eig-ratio-L2=2.377e-01 axis-align=0.826
[169] train=3.5528e-02 | val=6.9346e-02 | L=5.31e-02 E=1.63e-02 Dyn=1.04e+00 | eig-ratio-L2=1.445e-01 axis-align=0.891
[170] train=3.5020e-02 | val=6.8380e-02 | L=5.22e-02 E=1.62e-02 Dyn=1.08e+00 | eig-ratio-L2=1.464e-01 axis-align=0.885
[171] train=3.5315e-02 | val=6.9405e-02 | L=5.28e-02 E=1.66e-02 Dyn=1.09e+00 | eig-ratio-L2=1.484e-01 axis-align=0.881
[172] train=3.5824e-02 | val=6.7234e-02 | L=5.13e-02 E=1.60e-02 Dyn=1.01e+00 | eig-ratio-L2=1.458e-01 axis-align=0.884
[173] train=3.5970e-02 | val=6.7887e-02 | L=5.17e-02 E=1.62e-02 Dyn=1.09e+00 | eig-ratio-L2=1.456e-01 axis-align=0.889
[174] train=3.5202e-02 | val=6.7666e-02 | L=5.15e-02 E=1.62e-02 Dyn=1.06e+00 | eig-ratio-L2=1.459e-01 axis-align=0.888
[175] train=3.5486e-02 | val=6.7536e-02 | L=5.11e-02 E=1.64e-02 Dyn=1.08e+00 | eig-ratio-L2=1.457e-01 axis-align=0.888
[176] train=3.5049e-02 | val=7.0379e-02 | L=5.32e-02 E=1.72e-02 Dyn=1.11e+00 | eig-ratio-L2=1.471e-01 axis-align=0.890
[177] train=3.4724e-02 | val=7.1715e-02 | L=5.39e-02 E=1.78e-02 Dyn=1.14e+00 | eig-ratio-L2=1.464e-01 axis-align=0.891
[178] train=3.4784e-02 | val=6.7636e-02 | L=5.20e-02 E=1.57e-02 Dyn=1.05e+00 | eig-ratio-L2=1.460e-01 axis-align=0.888
[179] train=3.4630e-02 | val=6.8954e-02 | L=5.31e-02 E=1.59e-02 Dyn=1.09e+00 | eig-ratio-L2=1.458e-01 axis-align=0.888
[180] train=3.5046e-02 | val=7.0038e-02 | L=5.39e-02 E=1.62e-02 Dyn=1.08e+00 | eig-ratio-L2=1.446e-01 axis-align=0.891
[181] train=3.4382e-02 | val=6.9457e-02 | L=5.25e-02 E=1.70e-02 Dyn=1.04e+00 | eig-ratio-L2=1.434e-01 axis-align=0.886
[182] train=3.4836e-02 | val=6.8599e-02 | L=5.22e-02 E=1.64e-02 Dyn=1.07e+00 | eig-ratio-L2=1.431e-01 axis-align=0.891
[183] train=3.4500e-02 | val=6.9216e-02 | L=5.19e-02 E=1.73e-02 Dyn=1.04e+00 | eig-ratio-L2=1.449e-01 axis-align=0.889
[184] train=3.4402e-02 | val=6.8128e-02 | L=5.19e-02 E=1.62e-02 Dyn=1.05e+00 | eig-ratio-L2=1.455e-01 axis-align=0.895
[185] train=3.4942e-02 | val=6.9012e-02 | L=5.28e-02 E=1.62e-02 Dyn=1.09e+00 | eig-ratio-L2=1.449e-01 axis-align=0.887
[186] train=3.5110e-02 | val=6.9991e-02 | L=5.34e-02 E=1.65e-02 Dyn=1.09e+00 | eig-ratio-L2=1.450e-01 axis-align=0.887
[187] train=3.4946e-02 | val=7.0800e-02 | L=5.35e-02 E=1.73e-02 Dyn=1.09e+00 | eig-ratio-L2=1.447e-01 axis-align=0.885
[188] train=3.5290e-02 | val=6.8301e-02 | L=5.21e-02 E=1.62e-02 Dyn=1.05e+00 | eig-ratio-L2=1.446e-01 axis-align=0.888
[189] train=3.4425e-02 | val=6.8584e-02 | L=5.26e-02 E=1.60e-02 Dyn=1.07e+00 | eig-ratio-L2=1.446e-01 axis-align=0.885
[190] train=3.4585e-02 | val=7.1200e-02 | L=5.41e-02 E=1.71e-02 Dyn=1.08e+00 | eig-ratio-L2=1.436e-01 axis-align=0.889
[191] train=3.4467e-02 | val=6.9166e-02 | L=5.29e-02 E=1.63e-02 Dyn=1.10e+00 | eig-ratio-L2=1.431e-01 axis-align=0.888
[192] train=3.4611e-02 | val=6.9675e-02 | L=5.30e-02 E=1.66e-02 Dyn=1.08e+00 | eig-ratio-L2=1.465e-01 axis-align=0.890
[193] train=3.4374e-02 | val=6.8914e-02 | L=5.28e-02 E=1.61e-02 Dyn=1.08e+00 | eig-ratio-L2=1.427e-01 axis-align=0.886
[194] train=3.4335e-02 | val=7.2524e-02 | L=5.41e-02 E=1.84e-02 Dyn=1.11e+00 | eig-ratio-L2=1.433e-01 axis-align=0.890
[195] train=3.4513e-02 | val=6.8908e-02 | L=5.27e-02 E=1.62e-02 Dyn=1.09e+00 | eig-ratio-L2=1.444e-01 axis-align=0.891
[196] train=3.4620e-02 | val=7.0084e-02 | L=5.37e-02 E=1.64e-02 Dyn=1.05e+00 | eig-ratio-L2=1.439e-01 axis-align=0.889
[197] train=3.4465e-02 | val=6.9318e-02 | L=5.33e-02 E=1.60e-02 Dyn=1.09e+00 | eig-ratio-L2=1.455e-01 axis-align=0.888
[198] train=3.3864e-02 | val=7.0154e-02 | L=5.38e-02 E=1.63e-02 Dyn=1.08e+00 | eig-ratio-L2=1.430e-01 axis-align=0.887
[199] train=3.4293e-02 | val=6.5796e-02 | L=5.22e-02 E=1.36e-02 Dyn=1.03e+00 | eig-ratio-L2=1.450e-01 axis-align=0.890
[200] train=3.3976e-02 | val=7.0212e-02 | L=5.32e-02 E=1.70e-02 Dyn=1.07e+00 | eig-ratio-L2=1.435e-01 axis-align=0.890
[201] train=3.4093e-02 | val=6.9582e-02 | L=5.35e-02 E=1.61e-02 Dyn=1.10e+00 | eig-ratio-L2=1.438e-01 axis-align=0.886
[202] train=3.4386e-02 | val=7.3336e-02 | L=5.46e-02 E=1.87e-02 Dyn=1.10e+00 | eig-ratio-L2=1.455e-01 axis-align=0.883
[203] train=3.3866e-02 | val=7.0228e-02 | L=5.44e-02 E=1.59e-02 Dyn=1.09e+00 | eig-ratio-L2=1.455e-01 axis-align=0.887
[204] train=3.3624e-02 | val=7.0801e-02 | L=5.42e-02 E=1.66e-02 Dyn=1.11e+00 | eig-ratio-L2=1.422e-01 axis-align=0.889
[205] train=3.3653e-02 | val=7.2079e-02 | L=5.49e-02 E=1.72e-02 Dyn=1.09e+00 | eig-ratio-L2=1.406e-01 axis-align=0.888
[206] train=3.3445e-02 | val=7.0923e-02 | L=5.40e-02 E=1.69e-02 Dyn=1.08e+00 | eig-ratio-L2=1.406e-01 axis-align=0.893
[207] train=3.3737e-02 | val=7.1415e-02 | L=5.45e-02 E=1.69e-02 Dyn=1.11e+00 | eig-ratio-L2=1.442e-01 axis-align=0.890
[208] train=3.4550e-02 | val=7.2019e-02 | L=5.42e-02 E=1.78e-02 Dyn=1.11e+00 | eig-ratio-L2=1.446e-01 axis-align=0.892
[209] train=3.3871e-02 | val=7.0524e-02 | L=5.39e-02 E=1.66e-02 Dyn=1.08e+00 | eig-ratio-L2=1.431e-01 axis-align=0.888
[210] train=3.3722e-02 | val=7.2538e-02 | L=5.45e-02 E=1.80e-02 Dyn=1.09e+00 | eig-ratio-L2=1.432e-01 axis-align=0.890
[211] train=3.3607e-02 | val=7.3237e-02 | L=5.49e-02 E=1.84e-02 Dyn=1.11e+00 | eig-ratio-L2=1.445e-01 axis-align=0.887
[212] train=3.3830e-02 | val=6.9031e-02 | L=5.21e-02 E=1.70e-02 Dyn=1.07e+00 | eig-ratio-L2=1.429e-01 axis-align=0.888
[213] train=3.3891e-02 | val=7.0470e-02 | L=5.31e-02 E=1.74e-02 Dyn=1.11e+00 | eig-ratio-L2=1.435e-01 axis-align=0.888
[214] train=3.4332e-02 | val=6.9709e-02 | L=5.35e-02 E=1.62e-02 Dyn=1.06e+00 | eig-ratio-L2=1.456e-01 axis-align=0.887
[215] train=3.3932e-02 | val=6.8674e-02 | L=5.22e-02 E=1.64e-02 Dyn=1.02e+00 | eig-ratio-L2=1.424e-01 axis-align=0.886
[216] train=3.3726e-02 | val=6.9623e-02 | L=5.31e-02 E=1.65e-02 Dyn=1.07e+00 | eig-ratio-L2=1.433e-01 axis-align=0.889
[217] train=3.3233e-02 | val=6.9122e-02 | L=5.27e-02 E=1.64e-02 Dyn=1.06e+00 | eig-ratio-L2=1.429e-01 axis-align=0.888
[218] train=3.3446e-02 | val=6.8578e-02 | L=5.19e-02 E=1.67e-02 Dyn=1.00e+00 | eig-ratio-L2=1.429e-01 axis-align=0.887
[219] train=3.3113e-02 | val=6.7362e-02 | L=5.11e-02 E=1.63e-02 Dyn=1.05e+00 | eig-ratio-L2=1.425e-01 axis-align=0.884
[220] train=3.3135e-02 | val=7.1626e-02 | L=5.37e-02 E=1.80e-02 Dyn=1.10e+00 | eig-ratio-L2=1.432e-01 axis-align=0.884
[221] train=3.3614e-02 | val=6.9999e-02 | L=5.32e-02 E=1.68e-02 Dyn=1.05e+00 | eig-ratio-L2=1.439e-01 axis-align=0.892
[222] train=3.3167e-02 | val=6.9137e-02 | L=5.24e-02 E=1.68e-02 Dyn=1.04e+00 | eig-ratio-L2=1.428e-01 axis-align=0.885
[223] train=3.3453e-02 | val=6.9076e-02 | L=5.28e-02 E=1.63e-02 Dyn=1.05e+00 | eig-ratio-L2=1.428e-01 axis-align=0.891
[224] train=3.2644e-02 | val=7.1702e-02 | L=5.42e-02 E=1.75e-02 Dyn=1.14e+00 | eig-ratio-L2=1.442e-01 axis-align=0.887
[225] train=3.3188e-02 | val=7.1874e-02 | L=5.41e-02 E=1.78e-02 Dyn=1.12e+00 | eig-ratio-L2=1.448e-01 axis-align=0.887
[226] train=3.3143e-02 | val=7.1955e-02 | L=5.41e-02 E=1.79e-02 Dyn=1.09e+00 | eig-ratio-L2=1.420e-01 axis-align=0.886
[227] train=3.3042e-02 | val=7.5649e-02 | L=5.54e-02 E=2.03e-02 Dyn=1.15e+00 | eig-ratio-L2=1.431e-01 axis-align=0.887
[228] train=3.3141e-02 | val=7.1719e-02 | L=5.47e-02 E=1.71e-02 Dyn=1.06e+00 | eig-ratio-L2=1.441e-01 axis-align=0.890
[229] train=3.3202e-02 | val=7.2453e-02 | L=5.48e-02 E=1.76e-02 Dyn=1.10e+00 | eig-ratio-L2=1.417e-01 axis-align=0.887
[230] train=3.3421e-02 | val=7.4380e-02 | L=5.59e-02 E=1.85e-02 Dyn=1.12e+00 | eig-ratio-L2=1.417e-01 axis-align=0.885
[231] train=3.3336e-02 | val=7.1949e-02 | L=5.45e-02 E=1.74e-02 Dyn=1.09e+00 | eig-ratio-L2=1.415e-01 axis-align=0.886
[232] train=3.3623e-02 | val=7.4525e-02 | L=5.57e-02 E=1.88e-02 Dyn=1.07e+00 | eig-ratio-L2=1.412e-01 axis-align=0.883
[233] train=3.3446e-02 | val=7.1281e-02 | L=5.42e-02 E=1.71e-02 Dyn=1.09e+00 | eig-ratio-L2=1.422e-01 axis-align=0.889
[234] train=3.3144e-02 | val=6.7970e-02 | L=5.25e-02 E=1.55e-02 Dyn=1.00e+00 | eig-ratio-L2=1.416e-01 axis-align=0.889
[235] train=3.2953e-02 | val=6.9155e-02 | L=5.30e-02 E=1.62e-02 Dyn=1.07e+00 | eig-ratio-L2=1.433e-01 axis-align=0.888
[236] train=3.2797e-02 | val=6.9888e-02 | L=5.33e-02 E=1.66e-02 Dyn=1.08e+00 | eig-ratio-L2=1.432e-01 axis-align=0.889
[237] train=3.3056e-02 | val=7.0709e-02 | L=5.32e-02 E=1.75e-02 Dyn=1.08e+00 | eig-ratio-L2=1.410e-01 axis-align=0.887
[238] train=3.2655e-02 | val=7.1417e-02 | L=5.45e-02 E=1.69e-02 Dyn=1.06e+00 | eig-ratio-L2=1.430e-01 axis-align=0.885
[239] train=3.2836e-02 | val=7.0817e-02 | L=5.38e-02 E=1.70e-02 Dyn=1.07e+00 | eig-ratio-L2=1.425e-01 axis-align=0.892
[240] train=3.2909e-02 | val=7.0641e-02 | L=5.34e-02 E=1.73e-02 Dyn=1.08e+00 | eig-ratio-L2=1.421e-01 axis-align=0.888
[241] train=3.2795e-02 | val=7.3670e-02 | L=5.52e-02 E=1.84e-02 Dyn=1.13e+00 | eig-ratio-L2=1.431e-01 axis-align=0.889
[242] train=3.2502e-02 | val=7.0640e-02 | L=5.41e-02 E=1.65e-02 Dyn=1.07e+00 | eig-ratio-L2=1.408e-01 axis-align=0.885
[243] train=3.2511e-02 | val=6.9620e-02 | L=5.32e-02 E=1.64e-02 Dyn=1.10e+00 | eig-ratio-L2=1.439e-01 axis-align=0.886
[244] train=3.2450e-02 | val=6.9517e-02 | L=5.31e-02 E=1.64e-02 Dyn=1.02e+00 | eig-ratio-L2=1.436e-01 axis-align=0.886
[245] train=3.2329e-02 | val=6.9834e-02 | L=5.35e-02 E=1.64e-02 Dyn=1.08e+00 | eig-ratio-L2=1.434e-01 axis-align=0.887
[246] train=3.2408e-02 | val=6.7659e-02 | L=5.17e-02 E=1.60e-02 Dyn=1.05e+00 | eig-ratio-L2=1.446e-01 axis-align=0.887
[247] train=3.2751e-02 | val=7.2034e-02 | L=5.43e-02 E=1.77e-02 Dyn=1.13e+00 | eig-ratio-L2=1.426e-01 axis-align=0.885
[248] train=3.2887e-02 | val=7.1276e-02 | L=5.32e-02 E=1.80e-02 Dyn=1.10e+00 | eig-ratio-L2=1.430e-01 axis-align=0.891
[249] train=3.2939e-02 | val=6.9711e-02 | L=5.28e-02 E=1.69e-02 Dyn=1.09e+00 | eig-ratio-L2=1.428e-01 axis-align=0.884
[250] train=3.2719e-02 | val=7.1393e-02 | L=5.42e-02 E=1.72e-02 Dyn=1.06e+00 | eig-ratio-L2=1.415e-01 axis-align=0.888
[251] train=3.2801e-02 | val=7.1661e-02 | L=5.40e-02 E=1.77e-02 Dyn=1.10e+00 | eig-ratio-L2=1.432e-01 axis-align=0.882
[252] train=3.2383e-02 | val=7.1981e-02 | L=5.39e-02 E=1.81e-02 Dyn=1.10e+00 | eig-ratio-L2=1.435e-01 axis-align=0.886
[253] train=3.2348e-02 | val=7.2358e-02 | L=5.47e-02 E=1.77e-02 Dyn=1.12e+00 | eig-ratio-L2=1.455e-01 axis-align=0.888
[254] train=3.2630e-02 | val=7.3661e-02 | L=5.51e-02 E=1.86e-02 Dyn=1.13e+00 | eig-ratio-L2=1.428e-01 axis-align=0.885
[255] train=3.2322e-02 | val=7.2378e-02 | L=5.50e-02 E=1.74e-02 Dyn=1.14e+00 | eig-ratio-L2=1.412e-01 axis-align=0.888
[256] train=3.2474e-02 | val=7.0965e-02 | L=5.33e-02 E=1.77e-02 Dyn=1.10e+00 | eig-ratio-L2=1.415e-01 axis-align=0.888
[257] train=3.2103e-02 | val=7.1804e-02 | L=5.37e-02 E=1.82e-02 Dyn=1.09e+00 | eig-ratio-L2=1.408e-01 axis-align=0.885
[258] train=3.2288e-02 | val=7.2242e-02 | L=5.36e-02 E=1.86e-02 Dyn=1.18e+00 | eig-ratio-L2=1.442e-01 axis-align=0.887
[259] train=3.2685e-02 | val=7.0225e-02 | L=5.35e-02 E=1.67e-02 Dyn=1.08e+00 | eig-ratio-L2=1.431e-01 axis-align=0.885
[260] train=3.2600e-02 | val=7.2904e-02 | L=5.40e-02 E=1.89e-02 Dyn=1.12e+00 | eig-ratio-L2=1.447e-01 axis-align=0.888
[261] train=3.1925e-02 | val=7.2176e-02 | L=5.37e-02 E=1.85e-02 Dyn=1.17e+00 | eig-ratio-L2=1.417e-01 axis-align=0.887
[262] train=3.2194e-02 | val=7.2951e-02 | L=5.44e-02 E=1.85e-02 Dyn=1.14e+00 | eig-ratio-L2=1.424e-01 axis-align=0.882
[263] train=3.2014e-02 | val=6.8851e-02 | L=5.28e-02 E=1.61e-02 Dyn=1.09e+00 | eig-ratio-L2=1.420e-01 axis-align=0.888
[264] train=3.2197e-02 | val=7.0864e-02 | L=5.37e-02 E=1.72e-02 Dyn=1.06e+00 | eig-ratio-L2=1.413e-01 axis-align=0.885
[265] train=3.2621e-02 | val=7.0204e-02 | L=5.34e-02 E=1.68e-02 Dyn=1.07e+00 | eig-ratio-L2=1.429e-01 axis-align=0.882
[266] train=3.2093e-02 | val=7.0162e-02 | L=5.30e-02 E=1.72e-02 Dyn=1.09e+00 | eig-ratio-L2=1.421e-01 axis-align=0.887
[267] train=3.1658e-02 | val=7.1883e-02 | L=5.36e-02 E=1.83e-02 Dyn=1.07e+00 | eig-ratio-L2=1.405e-01 axis-align=0.889
[268] train=3.1817e-02 | val=7.0701e-02 | L=5.32e-02 E=1.75e-02 Dyn=1.11e+00 | eig-ratio-L2=1.401e-01 axis-align=0.887
[269] train=3.1904e-02 | val=6.9479e-02 | L=5.28e-02 E=1.67e-02 Dyn=1.06e+00 | eig-ratio-L2=1.408e-01 axis-align=0.886
[270] train=3.1532e-02 | val=7.2946e-02 | L=5.47e-02 E=1.83e-02 Dyn=1.10e+00 | eig-ratio-L2=1.406e-01 axis-align=0.888
[271] train=3.1912e-02 | val=7.2515e-02 | L=5.35e-02 E=1.91e-02 Dyn=1.08e+00 | eig-ratio-L2=1.426e-01 axis-align=0.882
[272] train=3.2270e-02 | val=7.1839e-02 | L=5.33e-02 E=1.86e-02 Dyn=1.04e+00 | eig-ratio-L2=1.404e-01 axis-align=0.884
[273] train=3.1859e-02 | val=7.2462e-02 | L=5.45e-02 E=1.79e-02 Dyn=1.10e+00 | eig-ratio-L2=1.427e-01 axis-align=0.884
[274] train=3.2237e-02 | val=7.1437e-02 | L=5.36e-02 E=1.78e-02 Dyn=1.06e+00 | eig-ratio-L2=1.407e-01 axis-align=0.896
[275] train=3.2184e-02 | val=7.0639e-02 | L=5.40e-02 E=1.66e-02 Dyn=1.06e+00 | eig-ratio-L2=1.414e-01 axis-align=0.885
[276] train=3.2202e-02 | val=6.9038e-02 | L=5.33e-02 E=1.58e-02 Dyn=1.05e+00 | eig-ratio-L2=1.414e-01 axis-align=0.886
[277] train=3.2249e-02 | val=6.8876e-02 | L=5.28e-02 E=1.61e-02 Dyn=1.08e+00 | eig-ratio-L2=1.423e-01 axis-align=0.883
[278] train=3.1624e-02 | val=6.9140e-02 | L=5.28e-02 E=1.63e-02 Dyn=1.01e+00 | eig-ratio-L2=1.428e-01 axis-align=0.893
[279] train=3.1569e-02 | val=7.0474e-02 | L=5.37e-02 E=1.68e-02 Dyn=1.02e+00 | eig-ratio-L2=1.418e-01 axis-align=0.890
[280] train=3.1852e-02 | val=6.9723e-02 | L=5.30e-02 E=1.67e-02 Dyn=1.01e+00 | eig-ratio-L2=1.420e-01 axis-align=0.889
[281] train=3.1464e-02 | val=7.0300e-02 | L=5.31e-02 E=1.72e-02 Dyn=1.00e+00 | eig-ratio-L2=1.398e-01 axis-align=0.891
[282] train=3.1685e-02 | val=7.2281e-02 | L=5.46e-02 E=1.77e-02 Dyn=9.94e-01 | eig-ratio-L2=1.389e-01 axis-align=0.889
[283] train=3.1339e-02 | val=7.3068e-02 | L=5.45e-02 E=1.86e-02 Dyn=1.04e+00 | eig-ratio-L2=1.399e-01 axis-align=0.885
[284] train=3.1025e-02 | val=7.1695e-02 | L=5.41e-02 E=1.76e-02 Dyn=1.05e+00 | eig-ratio-L2=1.392e-01 axis-align=0.886
[285] train=3.1242e-02 | val=7.1753e-02 | L=5.41e-02 E=1.77e-02 Dyn=1.02e+00 | eig-ratio-L2=1.413e-01 axis-align=0.889
[286] train=3.1436e-02 | val=7.1870e-02 | L=5.46e-02 E=1.73e-02 Dyn=1.04e+00 | eig-ratio-L2=1.394e-01 axis-align=0.886
[287] train=3.1306e-02 | val=7.2835e-02 | L=5.51e-02 E=1.78e-02 Dyn=1.07e+00 | eig-ratio-L2=1.402e-01 axis-align=0.882
[288] train=3.1347e-02 | val=7.4692e-02 | L=5.62e-02 E=1.85e-02 Dyn=1.11e+00 | eig-ratio-L2=1.419e-01 axis-align=0.886
[289] train=3.1483e-02 | val=7.5655e-02 | L=5.66e-02 E=1.91e-02 Dyn=1.12e+00 | eig-ratio-L2=1.399e-01 axis-align=0.886
[290] train=3.1095e-02 | val=7.1939e-02 | L=5.41e-02 E=1.78e-02 Dyn=1.05e+00 | eig-ratio-L2=1.427e-01 axis-align=0.889
[291] train=3.0945e-02 | val=7.2727e-02 | L=5.51e-02 E=1.76e-02 Dyn=1.05e+00 | eig-ratio-L2=1.381e-01 axis-align=0.886
[292] train=3.1602e-02 | val=7.2006e-02 | L=5.47e-02 E=1.73e-02 Dyn=1.04e+00 | eig-ratio-L2=1.396e-01 axis-align=0.882
[293] train=3.1635e-02 | val=7.4122e-02 | L=5.52e-02 E=1.89e-02 Dyn=1.07e+00 | eig-ratio-L2=1.422e-01 axis-align=0.888
[294] train=3.1266e-02 | val=7.1315e-02 | L=5.37e-02 E=1.76e-02 Dyn=1.10e+00 | eig-ratio-L2=1.426e-01 axis-align=0.888
[295] train=3.1256e-02 | val=7.0908e-02 | L=5.36e-02 E=1.73e-02 Dyn=1.09e+00 | eig-ratio-L2=1.420e-01 axis-align=0.887
[296] train=3.0954e-02 | val=7.1023e-02 | L=5.41e-02 E=1.69e-02 Dyn=1.04e+00 | eig-ratio-L2=1.434e-01 axis-align=0.886
[297] train=3.1678e-02 | val=7.1860e-02 | L=5.50e-02 E=1.68e-02 Dyn=1.09e+00 | eig-ratio-L2=1.437e-01 axis-align=0.881
[298] train=3.1916e-02 | val=7.0400e-02 | L=5.39e-02 E=1.65e-02 Dyn=1.01e+00 | eig-ratio-L2=1.440e-01 axis-align=0.889
[299] train=3.1345e-02 | val=7.2948e-02 | L=5.50e-02 E=1.79e-02 Dyn=1.04e+00 | eig-ratio-L2=1.435e-01 axis-align=0.887
[300] train=3.1221e-02 | val=7.0971e-02 | L=5.40e-02 E=1.70e-02 Dyn=1.05e+00 | eig-ratio-L2=1.428e-01 axis-align=0.885
Pred I (trace=1):
 [[ 0.2411 -0.002  -0.1008]
 [-0.002   0.3027 -0.0354]
 [-0.1008 -0.0354  0.4562]]
True I (trace=1):
 [[ 0.2442  0.0623 -0.1731]
 [ 0.0623  0.3106 -0.0863]
 [-0.1731 -0.0863  0.4452]]

--- Principal inertia comparison ---
eigs_pred: [0.199026 0.299696 0.501277]
eigs_true: [0.143713 0.270681 0.585606]
abs_err  : [0.055314 0.029015 0.084329]
rel_err  : [0.384892 0.107192 0.144003]
axis |cos|: [0.968607 0.962068 0.966458]   mean= 0.9657
frame misalignment: 18.456 deg  (0.3221 rad)
axis match (pred i -> true j): [0, 1, 2]
Validation of model: bilstm
Pred I (trace=1):
 [[ 0.2411 -0.002  -0.1008]
 [-0.002   0.3027 -0.0354]
 [-0.1008 -0.0354  0.4562]]
True I (trace=1):
 [[ 0.2442  0.0623 -0.1731]
 [ 0.0623  0.3106 -0.0863]
 [-0.1731 -0.0863  0.4452]]

--- Principal inertia comparison ---
eigs_pred: [0.199026 0.299696 0.501277]
eigs_true: [0.143713 0.270681 0.585606]
abs_err  : [0.055314 0.029015 0.084329]
rel_err  : [0.384892 0.107192 0.144003]
axis |cos|: [0.968607 0.962068 0.966458]   mean= 0.9657
frame misalignment: 18.456 deg  (0.3221 rad)
axis match (pred i -> true j): [0, 1, 2]
training mamba
[01] train=1.1068e-01 | val=8.7833e-02 | L=7.73e-02 E=1.05e-02 Dyn=2.16e+00 | eig-ratio-L2=2.213e-01 axis-align=0.858
[02] train=9.4080e-02 | val=7.7078e-02 | L=6.65e-02 E=1.06e-02 Dyn=2.24e+00 | eig-ratio-L2=1.971e-01 axis-align=0.887
[03] train=8.7065e-02 | val=7.2774e-02 | L=6.29e-02 E=9.87e-03 Dyn=2.14e+00 | eig-ratio-L2=1.934e-01 axis-align=0.893
[04] train=8.6318e-02 | val=7.3139e-02 | L=6.25e-02 E=1.06e-02 Dyn=2.20e+00 | eig-ratio-L2=1.907e-01 axis-align=0.894
[05] train=8.2774e-02 | val=7.1542e-02 | L=6.11e-02 E=1.05e-02 Dyn=2.18e+00 | eig-ratio-L2=1.858e-01 axis-align=0.891
[06] train=8.2158e-02 | val=7.0555e-02 | L=6.01e-02 E=1.04e-02 Dyn=2.07e+00 | eig-ratio-L2=1.871e-01 axis-align=0.900
[07] train=8.0776e-02 | val=6.6951e-02 | L=5.73e-02 E=9.63e-03 Dyn=1.94e+00 | eig-ratio-L2=1.834e-01 axis-align=0.895
[08] train=7.7564e-02 | val=6.4011e-02 | L=5.49e-02 E=9.15e-03 Dyn=1.79e+00 | eig-ratio-L2=1.796e-01 axis-align=0.895
[09] train=7.1526e-02 | val=6.2044e-02 | L=5.28e-02 E=9.27e-03 Dyn=1.69e+00 | eig-ratio-L2=1.738e-01 axis-align=0.896
[10] train=6.9102e-02 | val=6.1079e-02 | L=5.16e-02 E=9.48e-03 Dyn=1.58e+00 | eig-ratio-L2=1.709e-01 axis-align=0.897
[11] train=6.4687e-02 | val=6.0976e-02 | L=5.14e-02 E=9.56e-03 Dyn=1.52e+00 | eig-ratio-L2=1.690e-01 axis-align=0.895
[12] train=6.2559e-02 | val=5.9379e-02 | L=4.99e-02 E=9.46e-03 Dyn=1.38e+00 | eig-ratio-L2=1.645e-01 axis-align=0.894
[13] train=6.0066e-02 | val=5.7593e-02 | L=4.80e-02 E=9.55e-03 Dyn=1.31e+00 | eig-ratio-L2=1.643e-01 axis-align=0.896
[14] train=5.7279e-02 | val=5.7062e-02 | L=4.79e-02 E=9.19e-03 Dyn=1.24e+00 | eig-ratio-L2=1.617e-01 axis-align=0.893
[15] train=5.6164e-02 | val=5.5748e-02 | L=4.69e-02 E=8.82e-03 Dyn=1.13e+00 | eig-ratio-L2=1.569e-01 axis-align=0.894
[16] train=5.4575e-02 | val=5.6634e-02 | L=4.69e-02 E=9.74e-03 Dyn=1.26e+00 | eig-ratio-L2=1.560e-01 axis-align=0.888
[17] train=5.3876e-02 | val=5.5922e-02 | L=4.68e-02 E=9.11e-03 Dyn=1.13e+00 | eig-ratio-L2=1.557e-01 axis-align=0.897
[18] train=5.2698e-02 | val=5.5182e-02 | L=4.61e-02 E=9.11e-03 Dyn=1.12e+00 | eig-ratio-L2=1.568e-01 axis-align=0.896
[19] train=5.1980e-02 | val=5.5723e-02 | L=4.65e-02 E=9.19e-03 Dyn=1.13e+00 | eig-ratio-L2=1.557e-01 axis-align=0.896
[20] train=5.0641e-02 | val=5.2899e-02 | L=4.43e-02 E=8.60e-03 Dyn=1.04e+00 | eig-ratio-L2=1.540e-01 axis-align=0.897
[21] train=4.9803e-02 | val=5.4391e-02 | L=4.56e-02 E=8.78e-03 Dyn=1.02e+00 | eig-ratio-L2=1.559e-01 axis-align=0.895
[22] train=5.0445e-02 | val=5.3539e-02 | L=4.47e-02 E=8.82e-03 Dyn=1.02e+00 | eig-ratio-L2=1.528e-01 axis-align=0.899
[23] train=4.8952e-02 | val=5.3558e-02 | L=4.51e-02 E=8.47e-03 Dyn=9.72e-01 | eig-ratio-L2=1.538e-01 axis-align=0.893
[24] train=4.7915e-02 | val=5.3505e-02 | L=4.43e-02 E=9.18e-03 Dyn=1.08e+00 | eig-ratio-L2=1.546e-01 axis-align=0.892
[25] train=4.8684e-02 | val=5.2804e-02 | L=4.40e-02 E=8.81e-03 Dyn=1.00e+00 | eig-ratio-L2=1.562e-01 axis-align=0.896
[26] train=4.6616e-02 | val=5.2664e-02 | L=4.38e-02 E=8.83e-03 Dyn=9.42e-01 | eig-ratio-L2=1.519e-01 axis-align=0.896
[27] train=4.6961e-02 | val=5.2481e-02 | L=4.38e-02 E=8.71e-03 Dyn=9.68e-01 | eig-ratio-L2=1.545e-01 axis-align=0.898
[28] train=4.5950e-02 | val=5.1011e-02 | L=4.30e-02 E=7.97e-03 Dyn=9.63e-01 | eig-ratio-L2=1.546e-01 axis-align=0.898
