Logging to logs/selfsup_mamba_20251022-093745
GPU is available
Using device: cuda
training lstm
[52] train=8.7565e-02 | val=1.9093e-01 | L=7.58e-02 E=2.40e-02 Dyn=9.11e-01 | eig-ratio-L2=1.546e-01 axis-align=0.885
[53] train=8.5290e-02 | val=1.9203e-01 | L=7.79e-02 E=2.34e-02 Dyn=9.07e-01 | eig-ratio-L2=1.520e-01 axis-align=0.886
[54] train=8.4125e-02 | val=1.8416e-01 | L=7.70e-02 E=2.13e-02 Dyn=8.58e-01 | eig-ratio-L2=1.527e-01 axis-align=0.886
[55] train=8.6122e-02 | val=1.8082e-01 | L=7.54e-02 E=2.13e-02 Dyn=8.41e-01 | eig-ratio-L2=1.533e-01 axis-align=0.888
[56] train=8.4246e-02 | val=1.9563e-01 | L=7.46e-02 E=2.60e-02 Dyn=9.50e-01 | eig-ratio-L2=1.541e-01 axis-align=0.890
[57] train=8.4017e-02 | val=1.8947e-01 | L=7.61e-02 E=2.22e-02 Dyn=9.11e-01 | eig-ratio-L2=1.540e-01 axis-align=0.887
[58] train=8.4912e-02 | val=1.9548e-01 | L=7.91e-02 E=2.64e-02 Dyn=9.00e-01 | eig-ratio-L2=1.504e-01 axis-align=0.885
[59] train=8.2549e-02 | val=2.2367e-01 | L=8.08e-02 E=3.21e-02 Dyn=1.11e+00 | eig-ratio-L2=1.489e-01 axis-align=0.888
[60] train=8.2992e-02 | val=1.9027e-01 | L=7.92e-02 E=2.68e-02 Dyn=8.43e-01 | eig-ratio-L2=1.493e-01 axis-align=0.886
[61] train=8.1222e-02 | val=1.9343e-01 | L=7.74e-02 E=2.66e-02 Dyn=8.95e-01 | eig-ratio-L2=1.512e-01 axis-align=0.883
[62] train=8.2263e-02 | val=1.9027e-01 | L=7.60e-02 E=2.56e-02 Dyn=8.87e-01 | eig-ratio-L2=1.524e-01 axis-align=0.888
[63] train=8.0771e-02 | val=1.9640e-01 | L=7.59e-02 E=2.73e-02 Dyn=9.32e-01 | eig-ratio-L2=1.519e-01 axis-align=0.887
[64] train=7.9630e-02 | val=1.8530e-01 | L=7.82e-02 E=2.33e-02 Dyn=8.38e-01 | eig-ratio-L2=1.482e-01 axis-align=0.885
[65] train=7.7974e-02 | val=1.9103e-01 | L=7.71e-02 E=2.63e-02 Dyn=8.76e-01 | eig-ratio-L2=1.514e-01 axis-align=0.888
[66] train=8.2023e-02 | val=1.7283e-01 | L=7.54e-02 E=2.26e-02 Dyn=7.48e-01 | eig-ratio-L2=1.491e-01 axis-align=0.883
[67] train=7.8807e-02 | val=1.9155e-01 | L=7.57e-02 E=2.59e-02 Dyn=8.99e-01 | eig-ratio-L2=1.511e-01 axis-align=0.887
[68] train=7.7371e-02 | val=1.8048e-01 | L=7.69e-02 E=2.57e-02 Dyn=7.79e-01 | eig-ratio-L2=1.472e-01 axis-align=0.886
[69] train=7.8203e-02 | val=1.8204e-01 | L=7.62e-02 E=2.34e-02 Dyn=8.24e-01 | eig-ratio-L2=1.490e-01 axis-align=0.887
[70] train=7.7388e-02 | val=1.7657e-01 | L=7.49e-02 E=2.14e-02 Dyn=8.02e-01 | eig-ratio-L2=1.480e-01 axis-align=0.881
[71] train=7.5756e-02 | val=2.0026e-01 | L=7.80e-02 E=3.21e-02 Dyn=9.01e-01 | eig-ratio-L2=1.476e-01 axis-align=0.881
[72] train=7.8436e-02 | val=1.8141e-01 | L=7.49e-02 E=2.47e-02 Dyn=8.18e-01 | eig-ratio-L2=1.471e-01 axis-align=0.883
[73] train=7.5410e-02 | val=1.8148e-01 | L=7.52e-02 E=2.37e-02 Dyn=8.26e-01 | eig-ratio-L2=1.483e-01 axis-align=0.882
[74] train=7.7124e-02 | val=1.8452e-01 | L=7.64e-02 E=2.75e-02 Dyn=8.06e-01 | eig-ratio-L2=1.462e-01 axis-align=0.883
[75] train=7.4869e-02 | val=1.8185e-01 | L=7.55e-02 E=2.39e-02 Dyn=8.24e-01 | eig-ratio-L2=1.491e-01 axis-align=0.886
[76] train=7.5190e-02 | val=1.7092e-01 | L=7.51e-02 E=2.24e-02 Dyn=7.34e-01 | eig-ratio-L2=1.479e-01 axis-align=0.880
[77] train=7.6699e-02 | val=1.8593e-01 | L=7.65e-02 E=2.58e-02 Dyn=8.36e-01 | eig-ratio-L2=1.476e-01 axis-align=0.884
[78] train=8.2170e-02 | val=1.9684e-01 | L=7.80e-02 E=2.86e-02 Dyn=9.03e-01 | eig-ratio-L2=1.429e-01 axis-align=0.887
[79] train=7.3992e-02 | val=1.7064e-01 | L=7.61e-02 E=2.18e-02 Dyn=7.28e-01 | eig-ratio-L2=1.461e-01 axis-align=0.877
[80] train=7.3959e-02 | val=1.6979e-01 | L=7.49e-02 E=2.35e-02 Dyn=7.13e-01 | eig-ratio-L2=1.445e-01 axis-align=0.882
[81] train=7.4445e-02 | val=1.7048e-01 | L=7.44e-02 E=2.34e-02 Dyn=7.27e-01 | eig-ratio-L2=1.486e-01 axis-align=0.885
[82] train=7.3617e-02 | val=1.6811e-01 | L=7.37e-02 E=2.32e-02 Dyn=7.12e-01 | eig-ratio-L2=1.485e-01 axis-align=0.886
[83] train=7.2619e-02 | val=1.8947e-01 | L=7.62e-02 E=2.69e-02 Dyn=8.64e-01 | eig-ratio-L2=1.472e-01 axis-align=0.881
[84] train=7.2492e-02 | val=2.2127e-01 | L=8.03e-02 E=3.66e-02 Dyn=1.04e+00 | eig-ratio-L2=1.432e-01 axis-align=0.889
[85] train=7.1868e-02 | val=1.6474e-01 | L=7.36e-02 E=2.07e-02 Dyn=7.04e-01 | eig-ratio-L2=1.498e-01 axis-align=0.888
[86] train=7.2357e-02 | val=1.8789e-01 | L=7.47e-02 E=2.56e-02 Dyn=8.76e-01 | eig-ratio-L2=1.481e-01 axis-align=0.884
[87] train=7.0919e-02 | val=1.8369e-01 | L=7.76e-02 E=2.97e-02 Dyn=7.64e-01 | eig-ratio-L2=1.463e-01 axis-align=0.892
[88] train=7.3426e-02 | val=2.0829e-01 | L=7.85e-02 E=3.29e-02 Dyn=9.69e-01 | eig-ratio-L2=1.479e-01 axis-align=0.888
[89] train=7.2228e-02 | val=1.8627e-01 | L=7.48e-02 E=2.69e-02 Dyn=8.46e-01 | eig-ratio-L2=1.469e-01 axis-align=0.887
[90] train=8.0645e-02 | val=1.8168e-01 | L=7.66e-02 E=2.65e-02 Dyn=7.86e-01 | eig-ratio-L2=1.466e-01 axis-align=0.889
[91] train=7.5717e-02 | val=2.0154e-01 | L=7.81e-02 E=3.29e-02 Dyn=9.05e-01 | eig-ratio-L2=1.503e-01 axis-align=0.885
[92] train=7.3050e-02 | val=1.9263e-01 | L=7.68e-02 E=3.18e-02 Dyn=8.40e-01 | eig-ratio-L2=1.478e-01 axis-align=0.885
[93] train=7.0619e-02 | val=1.8310e-01 | L=7.48e-02 E=2.59e-02 Dyn=8.23e-01 | eig-ratio-L2=1.478e-01 axis-align=0.887
